location_id,Airport,time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),daylight_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),wind_speed_10m_mean (mp/h)
0,ATL,4/1/2022,54.8,63.2,45.3,12.8,21.5,290,45167.43,0,0,0,9.2
0,ATL,4/2/2022,52.7,65.2,40.2,6.9,14.8,354,45292.9,0,0,0,4.8
0,ATL,4/3/2022,55.4,65.4,45.7,12.4,24.2,311,45418.13,0,0,0,8.5
0,ATL,4/4/2022,55.8,73.1,42.7,8.3,14.8,27,45543.06,0,0,0,5.2
0,ATL,4/5/2022,59.2,68.9,53.3,26.3,44.7,157,45667.6,1.335,1.335,0,10
0,ATL,4/6/2022,63.9,73.8,57.6,13.4,29.3,218,45791.65,0.205,0.205,0,9.4
0,ATL,4/7/2022,61.5,67.2,53.7,18.6,33.3,277,45915.15,0.402,0.402,0,13.5
0,ATL,4/8/2022,51.3,59.1,43.3,21.1,37.6,265,46037.99,0.016,0.016,0,12.7
0,ATL,4/9/2022,43.7,53.4,36.1,20.1,35.3,290,46160.09,0.047,0.047,0,12.8
0,ATL,4/10/2022,50.7,69.8,36.3,7.1,25.9,258,46281.37,0,0,0,4.9
0,ATL,4/11/2022,58.8,67.2,48.1,9.6,17.4,206,46401.73,0,0,0,7.3
0,ATL,4/12/2022,65,80,52.3,12.1,22.6,191,46521.07,0,0,0,7.4
0,ATL,4/13/2022,69.7,79.2,64,17.2,31.3,183,46639.47,0.004,0.004,0,11.7
0,ATL,4/14/2022,66.9,74.5,60.9,15,26.4,250,46757.77,0.051,0.051,0,10.7
0,ATL,4/15/2022,61,75.9,45.9,12.8,24.8,69,46876.03,0,0,0,8.8
0,ATL,4/16/2022,64.8,75.7,57.2,12.6,21.9,174,46994.18,0.406,0.406,0,8.4
0,ATL,4/17/2022,65.3,77.8,54.6,7,15.7,323,47112.14,0.063,0.063,0,4.4
0,ATL,4/18/2022,64.1,69,60,18.2,32.2,291,47229.82,0.244,0.244,0,9.8
0,ATL,4/19/2022,50.6,60.1,42.5,14.4,31.3,326,47347.15,0,0,0,11.6
0,ATL,4/20/2022,53,68.9,41,14,26.8,97,47464.02,0,0,0,8.3
0,ATL,4/21/2022,62.1,73.3,52.3,12.2,21,135,47580.36,0.004,0.004,0,8.2
0,ATL,4/22/2022,65,78.2,53.5,7.1,11.6,137,47696.07,0,0,0,4.2
0,ATL,4/23/2022,68,80.9,55.7,12.9,24.4,146,47811.07,0,0,0,7.5
0,ATL,4/24/2022,68.1,79.8,56.6,10.1,17.7,156,47925.27,0,0,0,7.3
0,ATL,4/25/2022,70.5,83.3,57.9,8.9,18.6,187,48038.56,0.004,0.004,0,6.5
0,ATL,4/26/2022,65.6,74.4,60.9,16.2,29.3,294,48150.85,0.039,0.039,0,8.5
0,ATL,4/27/2022,60.8,74.4,46.6,13.6,23.3,348,48262.04,0,0,0,8.2
0,ATL,4/28/2022,64,76.8,52.4,9.7,17.2,90,48372.05,0,0,0,6.9
0,ATL,4/29/2022,66.2,78.8,55.3,9.3,19.9,160,48480.75,0,0,0,6.8
0,ATL,4/30/2022,68.3,80,57.5,13.5,25.1,161,48588.06,0.051,0.051,0,8.1
0,ATL,5/1/2022,70.1,81.2,61.9,12.4,24.6,205,48693.86,0.02,0.02,0,9.3
0,ATL,5/2/2022,70.3,85.2,57.9,10.1,17.9,234,48798.05,0.02,0.02,0,5.5
0,ATL,5/3/2022,73,85.8,63.6,13.2,27.1,215,48900.66,0.008,0.008,0,7.9
0,ATL,5/4/2022,73.3,85.7,61.8,15.2,27.5,257,49002.48,0.272,0.272,0,6.3
0,ATL,5/5/2022,74.4,88.1,62.3,10.5,18.1,269,49103.59,0.008,0.008,0,4.8
