location_id,Airport,time,temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),daylight_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),wind_speed_10m_mean (mp/h)
0,ATL,4/2/2023,57.6,67.3,44.1,13.3,29.5,303,45266.81,0,0,0,8.9
0,ATL,4/3/2023,55.9,63.7,49.2,14.2,27.1,136,45391.37,0.406,0.406,0,6.9
0,ATL,4/4/2023,61.6,74.5,55.6,9.7,22.1,124,45515.3,0.094,0.094,0,6.9
0,ATL,4/5/2023,71.1,82.5,63.6,14.7,26.4,166,45638.51,0.043,0.043,0,9.1
0,ATL,4/6/2023,70.8,78.7,63.4,10.1,20.4,196,45760.92,0.083,0.083,0,5
0,ATL,4/7/2023,66.8,74.6,60.6,10.7,17,336,45882.44,0.008,0.008,0,4.4
0,ATL,4/8/2023,48.2,65,44.3,17.6,34.4,70,46003.13,1.472,1.472,0,14.8
0,ATL,4/9/2023,48.8,62.6,40.1,15.4,26.8,63,46123.86,0,0,0,11.8
0,ATL,4/10/2023,51.6,60.9,43.4,13.5,25.5,76,46244.68,0,0,0,10.4
0,ATL,4/11/2023,53.1,66.3,40.6,7.8,16.3,79,46365.54,0,0,0,6.1
0,ATL,4/12/2023,57.6,71.6,44.8,7.9,14.3,101,46486.33,0,0,0,4.6
0,ATL,4/13/2023,58.5,67,51,17.9,33.8,103,46607,0.543,0.543,0,10
0,ATL,4/14/2023,62.1,68.9,57.5,11.1,24.2,169,46727.43,0.295,0.295,0,7.5
0,ATL,4/15/2023,65.1,76.3,54.2,10.1,19.7,242,46847.57,0,0,0,6.3
0,ATL,4/16/2023,66.6,74.4,60.8,14.8,29.3,238,46967.32,0.067,0.067,0,9.2
0,ATL,4/17/2023,56.5,65.7,45.2,14.7,27.1,291,47086.59,0,0,0,10.7
0,ATL,4/18/2023,59,75.4,44.7,7.6,16.8,291,47205.3,0,0,0,5.7
0,ATL,4/19/2023,63,78.8,47.4,6.4,11.4,264,47323.36,0,0,0,4.5
0,ATL,4/20/2023,66.5,81,51.4,10.1,19.9,165,47440.66,0,0,0,6.4
0,ATL,4/21/2023,67.3,78.1,56.7,8.8,16.8,160,47557.14,0,0,0,7.3
0,ATL,4/22/2023,63.6,68.9,58,15.8,29.1,295,47672.68,0.063,0.063,0,11
0,ATL,4/23/2023,57.8,67.9,48.8,10.1,18.1,318,47787.2,0,0,0,6.4
0,ATL,4/24/2023,56.8,66.1,49.1,10.7,20.6,341,47900.58,0.008,0.008,0,7.9
0,ATL,4/25/2023,56.8,72.9,43.1,9.4,16.8,355,48012.74,0,0,0,5.6
0,ATL,4/26/2023,60.7,68.4,55.3,11,19.2,72,48123.57,0.008,0.008,0,8.4
0,ATL,4/27/2023,56.8,68,50.9,12,26.2,90,48232.97,0.429,0.429,0,9.8
0,ATL,4/28/2023,65.3,76.1,58.3,12.9,24.2,232,48340.99,0.102,0.102,0,7.8
0,ATL,4/29/2023,64.8,76.1,52.2,7.8,15.4,268,48448.43,0.02,0.02,0,4.8
0,ATL,4/30/2023,62.8,69.9,57.2,20.7,36,304,48555.36,0.543,0.543,0,10.7
0,ATL,5/1/2023,56.9,65.3,48.6,20.1,36.5,274,48661.69,0,0,0,12.4
0,ATL,5/2/2023,57.8,68.5,48.4,22.7,43.2,274,48767.35,0,0,0,13.2
0,ATL,5/3/2023,58.2,67.8,48,17,31.3,299,48872.23,0,0,0,12.1
0,ATL,5/4/2023,57.6,72.3,42.9,6,18.8,327,48976.25,0,0,0,4.4
0,ATL,5/5/2023,58.3,64.8,51.3,7.4,13.6,64,49079.32,0.126,0.126,0,4.7
0,ATL,5/6/2023,62.7,74.2,54.6,11,21.5,114,49181.34,0,0,0,7.8
0,ATL,5/7/2023,68,80.3,57.1,7.5,15,173,49282.22,0.024,0.024,0,5.7
0,ATL,5/8/2023,70.6,82.2,62.9,11.7,23,236,49381.86,0.039,0.039,0,7.6
0,ATL,5/9/2023,70.8,82.1,63.2,14.9,28,269,49480.16,0.295,0.295,0,7
0,ATL,5/10/2023,72,82.3,62.6,9.7,18.8,48,49577.01,0.008,0.008,0,6.6
0,ATL,5/11/2023,71.9,80.7,64.4,12.2,23.5,115,49672.32,0.008,0.008,0,9.2
0,ATL,5/12/2023,69.3,74.9,64.1,9.2,19.9,130,49765.98,0.516,0.516,0,5.5
0,ATL,5/13/2023,71.6,82.8,62.1,7.4,13.4,208,49857.89,0.012,0.012,0,3.1
0,ATL,5/14/2023,74.6,86.4,65.5,7.7,29.1,326,49947.94,0.205,0.205,0,4.5
0,ATL,5/15/2023,75.2,85.1,65.6,10.3,20.4,72,50036.01,0.028,0.028,0,6.9
0,ATL,5/16/2023,73,85.6,66.3,10,27.1,205,50122,0.555,0.555,0,6.1
0,ATL,5/17/2023,70.2,78,65.5,10.9,20.4,273,50205.8,0.563,0.563,0,7.6
0,ATL,5/18/2023,67.7,72.4,64.4,17.5,30.9,90,50287.41,0.874,0.874,0,6.7
0,ATL,5/19/2023,65,73.4,59.5,13.9,29.8,85,50367.52,0.043,0.043,0,9.7
0,ATL,5/20/2023,67.1,77.9,58,6.7,14.3,169,50446.16,0.012,0.012,0,4.6
0,ATL,5/21/2023,70.1,77.5,64.7,8.3,17.4,30,50523.28,0.256,0.256,0,5.9
0,ATL,5/22/2023,67.7,73.4,65.3,14.3,26.4,86,50598.78,0.106,0.106,0,9.9
0,ATL,5/23/2023,64.4,69.1,61.2,15.5,27.3,77,50672.58,0.378,0.378,0,10.6
0,ATL,5/24/2023,66.8,76.2,60.4,11,19.7,65,50744.62,0.059,0.059,0,8.5
0,ATL,5/25/2023,67.3,77.9,55.2,10.7,20.1,65,50814.81,0,0,0,6.8
0,ATL,5/26/2023,68.3,76.1,59.3,13.1,25.5,68,50883.07,0,0,0,10.4
0,ATL,5/27/2023,64.9,74.4,55.8,15.9,28.6,62,50949.32,0,0,0,11.5
0,ATL,5/28/2023,64.5,78.8,53.7,14.6,27.5,30,51013.47,0,0,0,7.8
0,ATL,5/29/2023,66.4,75.3,57.3,11.4,22.1,312,51075.45,0,0,0,6.9
0,ATL,5/30/2023,68.5,79.8,58,9.5,17.9,51,51135.16,0.024,0.024,0,6.7
0,ATL,5/31/2023,70.9,79.6,63.5,12.1,22.6,86,51192.54,0.031,0.031,0,9.5
0,ATL,6/1/2023,71.4,81.2,61.8,10.2,19.9,81,51247.49,0,0,0,7.4
0,ATL,6/2/2023,73.6,85.5,63,9.1,19.9,58,51299.93,0.004,0.004,0,6
0,ATL,6/3/2023,75.1,87.8,62.3,11.8,21.7,59,51349.77,0,0,0,6.8
0,ATL,6/4/2023,74.7,84.8,65.4,10.1,18.8,65,51396.94,0.02,0.02,0,7
